,x,y,z,joint,pressure,th_values,d_values
3064,-13.437831699729944,0,64.41322669448411,4,2.64,0.30026644451310447,0.0
3065,-13.486913060225445,0,64.40539860667674,4,2.65,0.30120019566292144,0.0
3066,-13.535987111045843,0,64.39751963263797,4,2.66,0.30213394681273836,0.0
3067,-13.58505379944841,0,64.38958977644748,4,2.67,0.30306769796255534,0.0
3068,-13.63411307269116,0,64.38160904223969,4,2.68,0.3040014491123723,0.0
3069,-13.6831648780329,0,64.37357743420363,4,2.69,0.3049352002621893,0.0
3070,-13.732209162733271,0,64.36549495658298,4,2.7,0.3058689514120062,0.0
3071,-13.781245874052843,0,64.35736161367609,4,2.71,0.3068027025618232,0.0
3072,-13.830274959253137,0,64.34917740983602,4,2.72,0.30773645371164016,0.0
3073,-13.879296365596678,0,64.34094234947038,4,2.73,0.30867020486145713,0.0
3074,-13.928310040347089,0,64.33265643704158,4,2.74,0.3096039560112741,0.0
3075,-13.977315930769112,0,64.3243196770666,4,2.75,0.310537707161091,0.0
3076,-14.02631398412868,0,64.31593207411716,4,2.7600000000000002,0.31147145831090806,0.0
3077,-14.07530414769297,0,64.3074936328196,4,2.77,0.31240520946072503,0.0
3078,-14.124286368730468,0,64.29900435785497,4,2.7800000000000002,0.31333896061054206,0.0
3079,-14.173260594510998,0,64.29046425395902,4,2.79,0.3142727117603589,0.0
3080,-14.22222677230583,0,64.28187332592209,4,2.8000000000000003,0.31520646291017596,0.0
3081,-14.271184849387685,0,64.27323157858932,4,2.81,0.31614021405999293,0.0
3082,-14.320134773030812,0,64.26453901686047,4,2.82,0.3170739652098098,0.0
3083,-14.369076490511052,0,64.25579564568999,4,2.83,0.3180077163596268,0.0
3084,-14.418009949105887,0,64.24700147008701,4,2.84,0.3189414675094438,0.0
3085,-14.466935096094499,0,64.23815649511539,4,2.85,0.3198752186592608,0.0
3086,-14.515851878757813,0,64.22926072589365,4,2.86,0.3208089698090777,0.0
3087,-14.564760244378586,0,64.220314167595,4,2.87,0.32174272095889467,0.0
3088,-14.613660140241432,0,64.21131682544738,4,2.88,0.32267647210871164,0.0
3089,-14.662551513632888,0,64.20226870473341,4,2.89,0.3236102232585286,0.0
3090,-14.711434311841485,0,64.19316981079038,4,2.9,0.32454397440834554,0.0
3091,-14.76030848215778,0,64.18402014901031,4,2.91,0.3254777255581625,0.0
3092,-14.809173971874424,0,64.17481972483992,4,2.92,0.3264114767079795,0.0
3093,-14.85803072828624,0,64.16556854378064,4,2.93,0.32734522785779646,0.0
3094,-14.906878698690239,0,64.15626661138856,4,2.94,0.3282789790076134,0.0
3095,-14.955717830385712,0,64.14691393327453,4,2.95,0.3292127301574304,0.0
3096,-15.004548070674264,0,64.1375105151041,4,2.96,0.33014648130724733,0.0
3097,-15.053369366859888,0,64.12805636259746,4,2.97,0.33108023245706436,0.0
3098,-15.102181666249002,0,64.1185514815296,4,2.98,0.3320139836068813,0.0
3099,-15.15098491615053,0,64.10899587773017,4,2.99,0.33294773475669825,0.0
3100,-15.199779063875932,0,64.09938955708353,4,3.0,0.3338814859065152,0.0
3101,-15.248564056739284,0,64.08973252552876,4,3.0100000000000002,0.33481523705633226,0.0
3102,-15.297339842057326,0,64.08002478905968,4,3.02,0.33574898820614923,0.0
3103,-15.346106367149515,0,64.07026635372475,4,3.0300000000000002,0.33668273935596615,0.0
3104,-15.39486357933808,0,64.06045722562722,4,3.04,0.33761649050578313,0.0
3105,-15.443611425948097,0,64.05059741092501,4,3.0500000000000003,0.3385502416556001,0.0
3106,-15.492349854307522,0,64.04068691583075,4,3.06,0.339483992805417,0.0
3107,-15.541078811747258,0,64.03072574661184,4,3.0700000000000003,0.340417743955234,0.0
3108,-15.589798245601225,0,64.02071390959031,4,3.08,0.341351495105051,0.0
3109,-15.63850810320638,0,64.010651411143,4,3.09,0.34228524625486795,0.0
3110,-15.687208331902827,0,64.0005382577014,4,3.1,0.34321899740468487,0.0
3111,-15.735898879033826,0,63.99037445575169,4,3.11,0.34415274855450184,0.0
3112,-15.784579691945867,0,63.980160011834876,4,3.12,0.3450864997043188,0.0
3113,-15.833250717988738,0,63.96989493254659,4,3.13,0.3460202508541358,0.0
3114,-15.881911904515576,0,63.9595792245372,4,3.14,0.3469540020039527,0.0
3115,-15.9305631988829,0,63.9492128945118,4,3.15,0.3478877531537697,0.0
3116,-15.979204548450713,0,63.93879594923021,4,3.16,0.34882150430358666,0.0
3117,-16.027835900582517,0,63.92832839550695,4,3.17,0.34975525545340364,0.0
3118,-16.076457202645383,0,63.917810240211246,4,3.18,0.35068900660322055,0.0
3119,-16.125068402010026,0,63.90724149026707,4,3.19,0.35162275775303753,0.0
3120,-16.173669446050848,0,63.89662215265309,4,3.2,0.3525565089028546,0.0
3121,-16.222260282145978,0,63.885952234402694,4,3.21,0.3534902600526715,0.0
3122,-16.270840857677356,0,63.87523174260399,4,3.22,0.35442401120248856,0.0
3123,-16.31941112003078,0,63.86446068439979,4,3.23,0.3553577623523055,0.0
