time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.47,0.141,0,0,0.774112,-0.616321,2.01813,-3.60845,0.92968,-9.65444,1.48564,-14.9674,0.559017,-22.8848,-4.54102,-33.347,-7.65722,-41.9956,-13.0991,-51.6393,-27.326,-66.9584
0.48,0.144,0,0,0.755536,-0.573822,2.01273,-3.48271,0.955356,-9.41664,1.55758,-14.6843,0.666295,-22.6034,-4.44181,-33.0686,-7.56833,-41.7617,-13.0804,-51.4608,-27.4789,-66.7913
0.49,0.147,0,0,0.73962,-0.535978,2.0097,-3.37311,0.977655,-9.21127,1.62145,-14.444,0.757548,-22.3744,-4.36949,-32.8514,-7.51559,-41.5939,-13.1086,-51.3503,-27.6942,-66.6912
0.5,0.15,0,0,0.734224,-0.515096,2.01812,-3.32463,0.991139,-9.13194,1.65884,-14.3729,0.789854,-22.3559,-4.40282,-32.8823,-7.6083,-41.6963,-13.3278,-51.5199,-28.1705,-66.8716
0.51,0.153,0,0,0.746162,-0.522112,2.04523,-3.37541,0.991284,-9.25593,1.6543,-14.574,0.727758,-22.6744,-4.60508,-33.3083,-7.93368,-42.2274,-13.8522,-52.1319,-29.0624,-67.4921
0.52,0.156,0,0,0.77915,-0.563333,2.0941,-3.54711,0.972892,-9.62631,1.59475,-15.1041,0.545337,-23.3978,-5.01904,-34.2049,-8.54882,-43.2662,-14.7537,-53.2635,-30.4627,-68.6214
0.53,0.159,0,0,0.832752,-0.63881,2.16216,-3.84045,0.929399,-10.2424,1.47,-15.9629,0.226258,-24.5249,-5.66749,-35.567,-9.48242,-44.8035,-16.0663,-54.8986,-32.409,-70.2304
0.54,0.162,0,0,0.902207,-0.74227,2.24082,-4.232,0.855621,-11.0515,1.27794,-17.0786,-0.223397,-25.9624,-6.52796,-37.278,-10.698,-46.7072,-17.735,-56.8926,-34.8128,-72.1614
0.55,0.165,0,0,0.980303,-0.86364,2.32138,-4.68438,0.75053,-11.9776,1.02483,-18.3458,-0.778281,-27.576,-7.5485,-39.1768,-12.1192,-48.7985,-19.654,-59.0555,-37.5222,-74.2166
0.56,0.168,0,0,1.05899,-0.988605,2.39407,-5.14797,0.622307,-12.9169,0.735078,-19.6287,-1.38976,-29.1997,-8.64316,-41.0698,-13.6298,-50.8687,-21.6734,-61.1727,-40.3333,-76.1835
0.57,0.171,0,0,1.12966,-1.10315,2.45492,-5.57358,0.486555,-13.7759,0.441338,-20.8019,-1.99374,-30.6827,-9.71065,-42.7874,-15.0964,-52.7384,-23.6249,-63.0654,-43.029,-77.8949
0.58,0.174,0,0,1.18639,-1.1936,2.50039,-5.91316,0.367944,-14.455,0.192727,-21.7342,-2.50438,-31.864,-10.6104,-44.1483,-16.3343,-54.2184,-25.2785,-64.5517,-45.3133,-79.1962
